Season,Hosts,Judges,Network,Winner,Year,PBS Season,Netflix Collection,Roku Season,Location
1,Mel Giedroyc,Mary Berry,BBC Two,Edd,2010,,,1,Various
1,Mel Giedroyc,Paul Hollywood,BBC Two,Edd,2010,,,1,Various
1,Sue Perkins,Mary Berry,BBC Two,Edd,2010,,,1,Various
1,Sue Perkins,Paul Hollywood,BBC Two,Edd,2010,,,1,Various
2,Mel Giedroyc,Mary Berry,BBC Two,Jo,2011,,,2,"Valentines Mansion, London, UK"
2,Mel Giedroyc,Paul Hollywood,BBC Two,Jo,2011,,,2,"Valentines Mansion, London, UK"
2,Sue Perkins,Mary Berry,BBC Two,Jo,2011,,,2,"Valentines Mansion, London, UK"
2,Sue Perkins,Paul Hollywood,BBC Two,Jo,2011,,,2,"Valentines Mansion, London, UK"
3,Mel Giedroyc,Mary Berry,BBC Two,John,2012,5,,3,"Harptree Court, Bristol, UK"
3,Mel Giedroyc,Paul Hollywood,BBC Two,John,2012,5,,3,"Harptree Court, Bristol, UK"
3,Sue Perkins,Mary Berry,BBC Two,John,2012,5,,3,"Harptree Court, Bristol, UK"
3,Sue Perkins,Paul Hollywood,BBC Two,John,2012,5,,3,"Harptree Court, Bristol, UK"
4,Mel Giedroyc,Mary Berry,BBC Two,Frances,2013,2,,4,"Harptree Court, Bristol, UK"
4,Mel Giedroyc,Paul Hollywood,BBC Two,Frances,2013,2,,4,"Harptree Court, Bristol, UK"
4,Sue Perkins,Mary Berry,BBC Two,Frances,2013,2,,4,"Harptree Court, Bristol, UK"
4,Sue Perkins,Paul Hollywood,BBC Two,Frances,2013,2,,4,"Harptree Court, Bristol, UK"
5,Mel Giedroyc,Mary Berry,BBC One,Nancy,2014,1,,5,"Welford Park, Newbury, UK"
5,Mel Giedroyc,Paul Hollywood,BBC One,Nancy,2014,1,,5,"Welford Park, Newbury, UK"
5,Sue Perkins,Mary Berry,BBC One,Nancy,2014,1,,5,"Welford Park, Newbury, UK"
5,Sue Perkins,Paul Hollywood,BBC One,Nancy,2014,1,,5,"Welford Park, Newbury, UK"
6,Mel Giedroyc,Mary Berry,BBC One,Nadiya,2015,3,,6,"Welford Park, Newbury, UK"
6,Mel Giedroyc,Paul Hollywood,BBC One,Nadiya,2015,3,,6,"Welford Park, Newbury, UK"
6,Sue Perkins,Mary Berry,BBC One,Nadiya,2015,3,,6,"Welford Park, Newbury, UK"
6,Sue Perkins,Paul Hollywood,BBC One,Nadiya,2015,3,,6,"Welford Park, Newbury, UK"
7,Mel Giedroyc,Mary Berry,BBC One,Candice,2016,4,,7,"Welford Park, Newbury, UK"
7,Mel Giedroyc,Paul Hollywood,BBC One,Candice,2016,4,,7,"Welford Park, Newbury, UK"
7,Sue Perkins,Mary Berry,BBC One,Candice,2016,4,,7,"Welford Park, Newbury, UK"
7,Sue Perkins,Paul Hollywood,BBC One,Candice,2016,4,,7,"Welford Park, Newbury, UK"
8,Noel Fielding,Prue Leith,Channel 4,Sophie,2017,,5,,"Welford Park, Newbury, UK"
8,Noel Fielding,Paul Hollywood,Channel 4,Sophie,2017,,5,,"Welford Park, Newbury, UK"
8,Sandi Toksvig,Prue Leith,Channel 4,Sophie,2017,,5,,"Welford Park, Newbury, UK"
8,Sandi Toksvig,Paul Hollywood,Channel 4,Sophie,2017,,5,,"Welford Park, Newbury, UK"
9,Noel Fielding,Prue Leith,Channel 4,Rahul,2018,,6,,"Welford Park, Newbury, UK"
9,Noel Fielding,Paul Hollywood,Channel 4,Rahul,2018,,6,,"Welford Park, Newbury, UK"
9,Sandi Toksvig,Prue Leith,Channel 4,Rahul,2018,,6,,"Welford Park, Newbury, UK"
9,Sandi Toksvig,Paul Hollywood,Channel 4,Rahul,2018,,6,,"Welford Park, Newbury, UK"
10,Noel Fielding,Prue Leith,Channel 4,DavidA,2019,,7,,"Welford Park, Newbury, UK"
10,Noel Fielding,Paul Hollywood,Channel 4,DavidA,2019,,7,,"Welford Park, Newbury, UK"
10,Sandi Toksvig,Prue Leith,Channel 4,DavidA,2019,,7,,"Welford Park, Newbury, UK"
10,Sandi Toksvig,Paul Hollywood,Channel 4,DavidA,2019,,7,,"Welford Park, Newbury, UK"
11,Noel Fielding,Prue Leith,Channel 4,PeterS,2020,,8,,"Down Hall, Bishop's Stortford, UK"
11,Noel Fielding,Paul Hollywood,Channel 4,PeterS,2020,,8,,"Down Hall, Bishop's Stortford, UK"
11,Matt Lucas,Prue Leith,Channel 4,PeterS,2020,,8,,"Down Hall, Bishop's Stortford, UK"
11,Matt Lucas,Paul Hollywood,Channel 4,PeterS,2020,,8,,"Down Hall, Bishop's Stortford, UK"
12,Noel Fielding,Prue Leith,Channel 4,Giuseppe,2021,,9,,"Down Hall, Bishop's Stortford, UK"
12,Noel Fielding,Paul Hollywood,Channel 4,Giuseppe,2021,,9,,"Down Hall, Bishop's Stortford, UK"
12,Matt Lucas,Prue Leith,Channel 4,Giuseppe,2021,,9,,"Down Hall, Bishop's Stortford, UK"
12,Matt Lucas,Paul Hollywood,Channel 4,Giuseppe,2021,,9,,"Down Hall, Bishop's Stortford, UK"
13,Noel Fielding,Prue Leith,Channel 4,Syabira,2022,,10,,"Welford Park, Newbury, UK"
13,Noel Fielding,Paul Hollywood,Channel 4,Syabira,2022,,10,,"Welford Park, Newbury, UK"
13,Matt Lucas,Prue Leith,Channel 4,Syabira,2022,,10,,"Welford Park, Newbury, UK"
13,Matt Lucas,Paul Hollywood,Channel 4,Syabira,2022,,10,,"Welford Park, Newbury, UK"
14,Alison Hammond,Prue Leith,Channel 4,Matty,2023,,11,,"Welford Park, Newbury, UK"
14,Alison Hammond,Paul Hollywood,Channel 4,Matty,2023,,11,,"Welford Park, Newbury, UK"
14,Noel Fielding,Prue Leith,Channel 4,Matty,2023,,11,,"Welford Park, Newbury, UK"
14,Noel Fielding,Paul Hollywood,Channel 4,Matty,2023,,11,,"Welford Park, Newbury, UK"